assessmentId,student,semester,shortCode,module,assessor,assistant,startTime,endTime,assessmentStyle,assessmentType,proposalStatus,location
test347,STUDENT044@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-23 10:30,2022-06-23 11:00,STANDARD,NORMAL,REGISTERED,
test348,STUDENT427@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-22 14:00,2022-06-22 14:30,STANDARD,NORMAL,REGISTERED,
test349,STUDENT267@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-20 12:30,2022-06-20 13:00,STANDARD,NORMAL,REGISTERED,
test350,STUDENT067@code.berlin,,SE_01,Software Development Basics,ASSESSOR010@code.berlin,helper@code.berlin2,2022-06-22 14:30,2022-06-22 15:00,STANDARD,NORMAL,REGISTERED,
test351,STUDENT464@code.berlin,,SE_01,Software Development Basics,ASSESSOR007@code.berlin,helper@code.berlin1,2022-06-20 11:00,2022-06-20 11:30,STANDARD,NORMAL,REGISTERED,
test364,STUDENT047@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 10:20,2022-06-22 10:40,ALTERNATIVE,NORMAL,REGISTERED,
test365,STUDENT601@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 10:40,2022-06-22 11:00,STANDARD,NORMAL,REGISTERED,
test366,STUDENT076@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 12:40,2022-06-22 13:00,STANDARD,NORMAL,REGISTERED,
test367,STUDENT242@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 10:00,2022-06-22 10:20,STANDARD,NORMAL,REGISTERED,
test368,STUDENT275@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 12:20,2022-06-22 12:40,STANDARD,NORMAL,REGISTERED,
test369,STUDENT088@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 11:40,2022-06-22 12:00,STANDARD,NORMAL,REGISTERED,
test370,STUDENT570@code.berlin,,SE_03,Concepts of Programming Languages,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-22 11:20,2022-06-22 11:40,STANDARD,NORMAL,REGISTERED,
test371,STUDENT239@code.berlin,,SE_04,Network Programming,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-21 10:20,2022-06-21 10:40,STANDARD,NORMAL,REGISTERED,
test372,STUDENT406@code.berlin,,SE_04,Network Programming,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-23 14:30,2022-06-23 15:00,ALTERNATIVE,NORMAL,REGISTERED,
test373,STUDENT171@code.berlin,,SE_04,Network Programming,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-23 14:00,2022-06-23 14:30,ALTERNATIVE,NORMAL,REGISTERED,
test374,STUDENT315@code.berlin,,SE_04,Network Programming,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-21 10:40,2022-06-21 11:00,STANDARD,NORMAL,REGISTERED,
test375,STUDENT188@code.berlin,,SE_04,Network Programming,ASSESSOR010@code.berlin,helper@code.berlin4,2022-06-21 10:00,2022-06-21 10:20,STANDARD,NORMAL,REGISTERED,
test411,STUDENT327@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin2,2022-06-22 12:00,2022-06-22 12:30,STANDARD,NORMAL,REGISTERED,
test438,STUDENT291@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-21 16:30,2022-06-21 17:00,STANDARD,NORMAL,REGISTERED,
test439,STUDENT076@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-27 15:00,2022-06-27 15:30,STANDARD,NORMAL,REGISTERED,
test440,STUDENT124@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-21 14:30,2022-06-21 15:00,STANDARD,NORMAL,REGISTERED,
test441,STUDENT551@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-24 15:00,2022-06-24 15:30,STANDARD,NORMAL,REGISTERED,
test442,STUDENT347@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-21 16:00,2022-06-21 16:30,STANDARD,NORMAL,REGISTERED,
test443,STUDENT111@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-22 16:30,2022-06-22 17:00,STANDARD,NORMAL,REGISTERED,
test444,STUDENT242@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-27 14:30,2022-06-27 15:00,STANDARD,NORMAL,REGISTERED,
test445,STUDENT395@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-24 16:30,2022-06-24 17:00,STANDARD,NORMAL,REGISTERED,
test446,STUDENT400@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-22 14:30,2022-06-22 15:00,STANDARD,NORMAL,REGISTERED,
test447,STUDENT500@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-20 14:00,2022-06-20 14:20,ALTERNATIVE,NORMAL,REGISTERED,
test448,STUDENT493@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-21 15:00,2022-06-21 15:30,STANDARD,NORMAL,REGISTERED,
test449,STUDENT472@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-24 14:00,2022-06-24 14:30,STANDARD,NORMAL,REGISTERED,
test450,STUDENT205@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 16:00,2022-06-23 16:30,STANDARD,NORMAL,REGISTERED,
test451,STUDENT255@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin5,2022-06-21 14:00,2022-06-21 14:30,STANDARD,NORMAL,REGISTERED,
test452,STUDENT574@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-22 15:00,2022-06-22 15:30,STANDARD,NORMAL,REGISTERED,
test453,STUDENT172@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 14:30,2022-06-23 15:00,STANDARD,NORMAL,REGISTERED,
test454,STUDENT601@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-27 14:00,2022-06-27 14:30,STANDARD,NORMAL,REGISTERED,
test455,STUDENT222@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-22 16:00,2022-06-22 16:30,STANDARD,NORMAL,REGISTERED,
test456,STUDENT382@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-24 16:00,2022-06-24 16:30,STANDARD,NORMAL,REGISTERED,
test457,STUDENT204@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-24 14:30,2022-06-24 15:00,STANDARD,NORMAL,REGISTERED,
test458,STUDENT080@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 15:00,2022-06-23 15:30,STANDARD,NORMAL,REGISTERED,
test459,STUDENT089@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-22 14:00,2022-06-22 14:30,STANDARD,NORMAL,REGISTERED,
test460,STUDENT009@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 16:30,2022-06-23 17:00,STANDARD,NORMAL,REGISTERED,
test464,STUDENT111@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-27 12:00,2022-06-27 12:30,STANDARD,NORMAL,REGISTERED,
test465,STUDENT204@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-21 12:30,2022-06-21 13:00,STANDARD,NORMAL,REGISTERED,
test466,STUDENT271@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-24 12:00,2022-06-24 12:30,STANDARD,NORMAL,REGISTERED,
test467,STUDENT386@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-21 11:00,2022-06-21 11:30,STANDARD,NORMAL,REGISTERED,
test468,STUDENT205@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-21 10:30,2022-06-21 11:00,STANDARD,NORMAL,REGISTERED,
test469,STUDENT275@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-27 10:00,2022-06-27 10:30,STANDARD,NORMAL,REGISTERED,
test471,STUDENT087@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin2,2022-06-22 10:00,2022-06-22 10:30,STANDARD,NORMAL,REGISTERED,
test473,STUDENT239@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-27 10:30,2022-06-27 11:00,STANDARD,NORMAL,REGISTERED,
test474,STUDENT551@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-27 11:00,2022-06-27 11:30,STANDARD,NORMAL,REGISTERED,
test475,STUDENT347@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-24 11:00,2022-06-24 11:30,STANDARD,NORMAL,REGISTERED,
test476,STUDENT601@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-24 10:30,2022-06-24 11:00,STANDARD,NORMAL,REGISTERED,
test477,STUDENT574@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-20 12:00,2022-06-20 12:30,STANDARD,NORMAL,REGISTERED,
test478,STUDENT080@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-20 12:30,2022-06-20 13:00,STANDARD,NORMAL,REGISTERED,
test479,STUDENT382@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin2,2022-06-22 11:00,2022-06-22 11:30,STANDARD,NORMAL,REGISTERED,
test480,STUDENT076@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-21 12:00,2022-06-21 12:30,STANDARD,NORMAL,REGISTERED,
test481,STUDENT408@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-20 10:30,2022-06-20 11:00,STANDARD,NORMAL,REGISTERED,
test482,STUDENT124@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-24 12:30,2022-06-24 13:00,STANDARD,NORMAL,REGISTERED,
test483,STUDENT014@code.berlin,,SE_08,Clean Code,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 14:00,2022-06-23 14:30,STANDARD,NORMAL,REGISTERED,
test484,STUDENT172@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-21 10:00,2022-06-21 10:30,STANDARD,NORMAL,REGISTERED,
test485,STUDENT400@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-20 11:00,2022-06-20 11:30,STANDARD,NORMAL,REGISTERED,
test487,STUDENT472@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin2,2022-06-22 10:30,2022-06-22 11:00,STANDARD,NORMAL,REGISTERED,
test488,STUDENT493@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-24 10:00,2022-06-24 10:30,STANDARD,NORMAL,REGISTERED,
test489,STUDENT014@code.berlin,,SE_10,Automated Software Testing,ASSESSOR048@code.berlin,helper@code.berlin2,2022-06-22 12:30,2022-06-22 13:00,STANDARD,NORMAL,REGISTERED,
test518,STUDENT578@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 10:40,2022-06-23 11:00,STANDARD,NORMAL,REGISTERED,
test519,STUDENT564@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 11:40,2022-06-23 12:00,STANDARD,NORMAL,REGISTERED,
test520,STUDENT193@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 11:20,2022-06-23 11:40,STANDARD,NORMAL,REGISTERED,
test521,STUDENT577@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 10:00,2022-06-23 10:20,STANDARD,NORMAL,REGISTERED,
test522,STUDENT245@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-28 10:30,2022-06-28 11:00,ALTERNATIVE,NORMAL,REGISTERED,
test523,STUDENT551@code.berlin,,SE_17,3D Rendering,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 10:20,2022-06-23 10:40,STANDARD,NORMAL,REGISTERED,
test524,STUDENT570@code.berlin,,SE_18,Image Processing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 12:40,2022-06-23 13:00,STANDARD,NORMAL,REGISTERED,
test525,STUDENT242@code.berlin,,SE_18,Image Processing,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-23 12:20,2022-06-23 12:40,STANDARD,NORMAL,REGISTERED,
test624,STUDENT096@code.berlin,,SE_35,Software Modeling and Design Patterns,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-27 16:30,2022-06-27 17:00,STANDARD,NORMAL,REGISTERED,
test625,STUDENT014@code.berlin,,SE_35,Software Modeling and Design Patterns,ASSESSOR048@code.berlin,helper@code.berlin1,2022-06-28 10:00,2022-06-28 10:30,STANDARD,NORMAL,REGISTERED,
test626,STUDENT171@code.berlin,,SE_35,Software Modeling and Design Patterns,ASSESSOR048@code.berlin,helper@code.berlin4,2022-06-27 12:30,2022-06-27 13:00,STANDARD,NORMAL,REGISTERED,
test627,STUDENT089@code.berlin,,SE_35,Software Modeling and Design Patterns,ASSESSOR048@code.berlin,helper@code.berlin3,2022-06-27 16:00,2022-06-27 16:30,STANDARD,NORMAL,REGISTERED,
test771,STUDENT059@code.berlin,,STS_05,Judging Technology,ASSESSOR008@code.berlin,helper@code.berlin5,2022-06-20 10:40,2022-06-20 11:00,STS,NORMAL,REGISTERED,
test772,STUDENT382@code.berlin,,STS_05,Judging Technology,ASSESSOR057@code.berlin,helper@code.berlin3,2022-06-20 10:00,2022-06-20 10:20,STS,NORMAL,REGISTERED,
test773,STUDENT014@code.berlin,,STS_05,Judging Technology,ASSESSOR008@code.berlin,helper@code.berlin5,2022-06-20 10:00,2022-06-20 10:20,STS,NORMAL,REGISTERED,
test774,STUDENT047@code.berlin,,STS_05,Judging Technology,ASSESSOR008@code.berlin,helper@code.berlin5,2022-06-20 10:20,2022-06-20 10:40,STS,NORMAL,REGISTERED,
